fpath,policy,theta,workload,secs,opsPerTx,total_threads,comm_rate,abrt_rate,avg_ms,median_ms,p95_ms,p99_ms
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_2/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,3,10,4696.36,914.88,1.8075,1.7725,2.2155,2.5985
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_2/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,3,10,4899.35,595.92,1.8465,1.7925,2.3520000000000003,2.88
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_2/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,3,10,3877.3,117.98,2.4955,2.3354999999999997,3.6325000000000003,5.093500000000001
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,10,3827.5,68.99,2.559,2.499,3.171,3.668
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,10,3812.77,47.0,2.576,2.513,3.21,3.805
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,10,2860.65,11.0,3.468,3.374,4.331,5.148
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,10,3972.34,0.0,2.507,2.444,3.117,3.624
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,3,10,3944.58,0.0,2.523,2.46,3.12,3.691
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,3,10,2923.59,0.0,3.406,3.322,4.225,4.887
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,3,10,3424.38,545.89,2.54,2.484,3.153,3.639
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,3,10,3524.29,359.94,2.589,2.516,3.279,3.954
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,3,10,2669.66,61.97,3.659,3.448,5.211,7.135
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,20,8846.83,469.94,2.1414999999999997,2.0825,2.705,3.2165
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,20,8891.11,309.95,2.1705,2.1045,2.753,3.3735
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,20,7075.96,96.99,2.7880000000000003,2.6820000000000004,3.6295,4.8275
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,20,9489.56,0.0,2.0995,2.0445,2.6525,3.126
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,3,20,9437.87,0.0,2.1085000000000003,2.05,2.6710000000000003,3.191
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,3,20,7369.2,0.0,2.6995,2.6304999999999996,3.333,3.9645
